epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3852,1.52921,2.34443,2.28545,0.95426,0.01152,0.1573,0.00755,0.00416,0.01646,0.22475,0.01159,0.00586,1.12627,1.64958,11.9647,0.74481,0.000653333,0.000653333,0.000653333
2,135.965,1.28608,1.8929,1.20952,0.89849,0.05626,0.52476,0.3363,0.18836,0.04092,0.55854,0.32624,0.17513,1.06514,1.68157,8.78682,0.74292,0.00130693,0.00130693,0.00130693
3,194.166,1.25295,1.85934,1.12174,0.88954,0.67636,0.33621,0.44242,0.24421,0.63941,0.30449,0.37493,0.17671,1.15577,1.78766,3.91815,0.76483,0.00194733,0.00194733,0.00194733
4,251.687,1.24929,1.88794,1.07627,0.88538,0.71382,0.63116,0.65749,0.38567,0.65171,0.55901,0.5417,0.24109,0.91962,1.41989,2.27449,0.74888,0.0019406,0.0019406,0.0019406
5,308.767,1.20719,1.80804,1.0118,0.881,0.49335,0.37366,0.33804,0.18253,0.41601,0.32035,0.24396,0.10039,1.15801,9.71161,2.64629,0.81143,0.0019208,0.0019208,0.0019208
6,366.23,1.23474,1.83898,0.99976,0.89031,0.63713,0.55119,0.58981,0.37414,0.61843,0.4961,0.52862,0.28324,0.95121,1.36974,1.20985,0.74925,0.001901,0.001901,0.001901
7,423.542,1.16753,1.76799,0.9536,0.87903,0.58415,0.57383,0.54796,0.31161,0.52453,0.5181,0.45823,0.22145,0.98759,1.42073,2.34704,0.75714,0.0018812,0.0018812,0.0018812
8,480.575,1.15879,1.75111,0.87974,0.87805,0.75638,0.61611,0.68468,0.4129,0.66939,0.52786,0.53265,0.22805,0.87829,1.41446,11.1158,0.74358,0.0018614,0.0018614,0.0018614
9,537.803,1.20262,1.77141,0.88653,0.87702,0.73892,0.63518,0.66902,0.33966,0.67302,0.57854,0.58013,0.28653,1.05833,1.59642,0.98672,0.76656,0.0018416,0.0018416,0.0018416
10,595.423,1.14551,1.7117,0.83181,0.86937,0.75382,0.70335,0.73651,0.42874,0.63433,0.61531,0.54746,0.23257,0.89214,1.35643,0.8787,0.74071,0.0018218,0.0018218,0.0018218
11,652.89,1.08738,1.6294,0.79666,0.86688,0.7684,0.64621,0.72797,0.44195,0.67421,0.5698,0.59057,0.27881,0.83834,1.34831,0.6919,0.73294,0.001802,0.001802,0.001802
12,710.425,1.12834,1.71115,0.79134,0.86732,0.74117,0.67161,0.71904,0.44543,0.67785,0.6029,0.63016,0.31751,0.85825,1.31341,1.35178,0.73884,0.0017822,0.0017822,0.0017822
13,767.324,1.09041,1.65151,0.79277,0.86662,0.78079,0.66262,0.72999,0.46223,0.72416,0.57911,0.61752,0.30238,0.83706,1.30925,1.37801,0.73645,0.0017624,0.0017624,0.0017624
14,824.09,1.09921,1.65769,0.79475,0.86368,0.77617,0.65624,0.71798,0.45402,0.66502,0.55088,0.551,0.26207,0.86137,1.31515,1.19323,0.73872,0.0017426,0.0017426,0.0017426
15,880.39,1.06961,1.62844,0.76333,0.86169,0.78727,0.69228,0.76843,0.47201,0.7006,0.59152,0.60182,0.26494,0.8427,1.31783,0.88575,0.73335,0.0017228,0.0017228,0.0017228
