epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,244.095,1.43401,2.31441,2.51066,0.95861,0,0.03048,0.43826,0.13618,0.09394,0.03452,0.49643,0.14665,0.09119,1.19616,1.84205,3.10608,0.8478,0,0.00197143,0.000657143,0.00197143,0.000657143,0.00197143,0.000657143,0.00197143,0.000657143
2,488.744,1.16976,1.70936,0.89145,0.86412,0,0.8682,0.52205,0.69043,0.44136,0.79564,0.47842,0.60262,0.30751,1.11118,1.73032,1.44179,0.83674,0,0.00393211,0.0013107,0.00393211,0.0013107,0.00393211,0.0013107,0.00393211,0.0013107
3,699.088,1.12499,1.59908,0.76183,0.85034,0,0.82624,0.74304,0.78631,0.5011,0.73998,0.65364,0.67915,0.34042,1.0357,1.65963,0.71568,0.84403,0,0.00585319,0.00195106,0.00585319,0.00195106,0.00585319,0.00195106,0.00585319,0.00195106
4,951.403,1.09059,1.55159,0.70657,0.84672,0,0.84447,0.76138,0.81093,0.53268,0.73577,0.66948,0.69085,0.35009,0.96924,1.51468,0.66557,0.83422,0,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,1137.95,1.06187,1.5198,0.66462,0.8432,0,0.85069,0.74236,0.80066,0.53405,0.75535,0.64429,0.67997,0.34169,0.93889,1.57863,0.6542,0.83178,0,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,1473.19,1.02969,1.46695,0.6208,0.83963,0,0.84264,0.76121,0.8155,0.53828,0.74578,0.66239,0.69791,0.36365,0.97072,1.54222,0.58866,0.83598,0,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,1734.08,1.03144,1.44462,0.59368,0.83868,0,0.84581,0.75146,0.81483,0.52715,0.71466,0.63841,0.6492,0.31739,0.96212,1.51614,0.60631,0.83368,0,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,2050.67,1.01142,1.4644,0.57562,0.83985,0,0.83634,0.78917,0.83239,0.55825,0.71723,0.6727,0.67274,0.31962,0.89944,1.46869,0.56493,0.8299,0,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,2247.65,0.99779,1.38822,0.55693,0.83094,0,0.83322,0.80007,0.84015,0.54092,0.69891,0.65158,0.64989,0.30854,0.95972,1.50184,0.59578,0.83522,0,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,2502.42,0.99094,1.40748,0.55029,0.83502,0,0.84182,0.80776,0.83225,0.56098,0.72893,0.6983,0.69588,0.35964,0.93601,1.46875,0.55412,0.82934,0,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,2724.41,0.99435,1.41138,0.54783,0.83188,0,0.84222,0.82867,0.8438,0.57427,0.73741,0.71892,0.7014,0.34554,0.90262,1.41439,0.54364,0.8283,0,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,2918.01,0.98793,1.39519,0.54164,0.83412,0,0.85905,0.7678,0.82395,0.55459,0.73954,0.67008,0.69971,0.37546,0.91543,1.55775,0.54448,0.82883,0,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
